symbol;nimi;sektor;hind;tootlus;kogus;kasum_aktsia_kohta;dividend_aktsia_kohta;aktsiate_arv
A;Agilent Technologies Inc;Health Care ;35.37;1.64;3464464;1.2;0.46;331546000
AA;Alcoa Inc;Materials ;7.81;1.14;27182632;-0.31;0.12;1228851000
AAL;American Airlines Group;Industrials ;36.19;1.8;11143254;11.07;0.40;621671000
AAP;Advance Auto Parts;Consumer Discretionary ;141.5;0.04;1239814;6.81;0.24;72922000
AAPL;Apple Inc.;Information Technology ;94.99;0.02;44331670;9.4;2.08;5541034000
ABBV;AbbVie;Health Care ;53.48;1.12;7655796;3.13;2.28;1632817000
ABC;AmerisourceBergen Corp;Health Care ;84.75;1.35;2808974;1.8;1.36;192888000
ABT;Abbott Laboratories;Health Care ;37;1.23;8691584;2.93;1.04;1487677000
ACN;Accenture plc;Information Technology ;93.32;1.84;6679491;4.75;2.20;626306000
ADBE;Adobe Systems Inc;Information Technology ;73.85;1.45;6697354;1.24;0.00;496267000
ADI;Analog Devices, Inc.;Information Technology ;49.31;0.31;3112050;2.2;1.60;310506000
ADM;Archer-Daniels-Midland Co;Consumer Staples ;33.58;0.84;6369366;2.98;1.20;581475000
ADP;Automatic Data Processing;Information Technology ;80.67;0.71;2247529;3.22;2.12;456700000
ADS;Alliance Data Systems;Information Technology ;177.12;3.6;1685809;8.82;N/A;59654000
ADSK;Autodesk Inc;Information Technology ;42.64;1.86;3241930;-1.24;0.00;196173000
ADT;ADT Corp;Industrials ;27.4;1.48;4055342;1.7;0.88;164827000
AEE;Ameren Corp;Utilities ;46.08;0.19;2285394;2.67;1.70;241829000
AEP;American Electric Power;Utilities ;62.37;0.19;3166401;3.61;2.24;490729000
AES;AES Corp;Utilities ;9.51;0.74;5530347;0.84;0.44;671489000
AET;Aetna Inc;Health Care ;97.2;3.06;4493496;6.78;1.00;347026000
AFL;AFLAC Inc;Financials ;57.93;0.12;2780624;5.85;1.64;419329000
AGN;Allergan plc;Health Care ;272.34;2.27;2832764;10.88;0.20;388500000
AIG;American International Group, Inc.;Financials ;52.25;0.1;11267492;3.42;1.12;1236727000
AIV;Apartment Investment & Mgmt;Financials ;35.45;0.42;2116749;1.52;1.32;154150000
AIZ;Assurant Inc;Financials ;76.49;0.34;1033757;1.79;2.00;64914000
AKAM;Akamai Technologies Inc;Information Technology ;39.57;3.44;6686739;1.82;N/A;172835000
ALL;Allstate Corp;Financials ;63.01;0.51;3743744;5.05;1.20;379776000
ALLE;Allegion;Industrials ;54.28;0.95;1425704;1.21;0.48;95746000
ALXN;Alexion Pharmaceuticals;Health Care ;136.46;1.93;2559822;0.67;N/A;224058000
AMAT;Applied Materials Inc;Information Technology ;16.1;0.56;13838916;1.12;0.40;1145915000
AME;Ametek;Industrials ;45.75;2.23;1952269;2.45;0.36;233270000
AMG;Affiliated Managers Group Inc;Financials ;119.94;0.35;743039;9.29;N/A;53425000
AMGN;Amgen Inc;Health Care ;143.16;0.11;4211109;9.06;4.00;753095000
AMP;Ameriprise Financial;Financials ;78.5;1.98;1908934;8.48;2.68;170404000
AMT;American Tower Corp A;Financials ;85.57;0.19;2638074;1.34;1.96;422934000
AMZN;Amazon.com Inc;Consumer Discretionary ;482.07;1.24;7078024;1.25;N/A;386340000
AN;AutoNation Inc;Consumer Discretionary ;46.44;3.87;2622398;3.89;N/A;75786000
ANTM;Anthem Inc.;Health Care ;119.82;2.22;2791846;9.38;2.50;267549000
AON;Aon plc;Financials ;92.88;0.11;2188976;4.88;1.20;272022000
APA;Apache Corporation;Energy ;35.58;5.32;7548006;-54.96;1.00;376369000
APC;Anadarko Petroleum Corp;Energy ;37.24;7.02;12085704;-13.18;1.08;506735000
APD;Air Products & Chemicals Inc;Materials ;132.46;1.31;1657425;6.05;3.24;194682000
APH;Amphenol Corp A;Industrials ;49.04;0.12;2515878;2.41;0.56;305039000
ARG;Airgas Inc;Materials ;140.14;0.26;750556;4.64;2.40;64895000
ATVI;Activision Blizzard;Information Technology ;28.81;0.31;14216661;1.47;0.23;379221000
AVB;AvalonBay Communities, Inc.;Financials ;161.11;1.49;932298;5.51;5.40;136510000
AVGO;Avago Technologies;Information Technology ;119.71;1.76;6340018;4.85;1.76;276116000
AVY;Avery Dennison Corp;Materials ;62.89;2.54;1635916;2.95;1.48;92076000
AXP;American Express Co;Financials ;52.63;0.44;8588920;5.05;1.16;821901000
AZO;AutoZone Inc;Consumer Discretionary ;697.58;0.3;562478;37.12;N/A;30058000
BA;Boeing Company;Industrials ;117.79;0.49;4137630;7.44;4.36;666070000
BAC;Bank of America Corp;Financials ;12.2;0.57;247349967;1.31;0.20;10508878000
BAX;Baxter International Inc.;Health Care ;36.19;0.53;4552784;1.76;0.46;492376000
BBBY;Bed Bath & Beyond;Consumer Discretionary ;43.67;0.16;2736735;5.05;N/A;154854000
BBT;BB&T Corporation;Financials ;31.33;0.86;6286417;2.56;1.08;777387000
BBY;Best Buy Co. Inc.;Consumer Discretionary ;27.92;2.45;5332089;2.65;0.92;298491000
BCR;Bard (C.R.) Inc.;Health Care ;181.44;1;781616;1.77;0.96;73461000
BDX;Becton Dickinson;Health Care ;134.34;1.1;1701011;3.24;2.64;210350000
BEN;Franklin Resources;Financials ;32.09;1.14;4843596;3.12;0.72;362124000
BF-B;Brown-Forman Corporation;Consumer Staples ;95.86;1.63;986103;3.26;1.40;117860000
BHI;Baker Hughes Inc;Energy ;41.75;2.5;5533537;-4.49;0.68;415693000
BIIB;BIOGEN IDEC Inc.;Health Care ;249.99;0.31;2386904;15.34;N/A;218421000
BK;The Bank of New York Mellon Corp.;Financials ;33.6;0.9;6777269;2.71;0.68;1082694000
BLK;BlackRock;Financials ;294.53;0.36;878849;19.79;9.16;158771000
BLL;Ball Corp;Materials ;65.15;1.97;2159613;1.99;0.52;130699000
BMY;Bristol-Myers Squibb;Health Care ;61.02;0.49;6391917;0.97;1.52;1666668000
BRK-B;Berkshire Hathaway;Financials ;127.72;0.74;5246330;9.23;N/A;1309000
BSX;Boston Scientific;Health Care ;16.87;4.98;20135354;-0.18;N/A;1332709000
BWA;BorgWarner;Consumer Discretionary ;29.61;2;3818605;2.75;0.52;222878000
BXLT;Baxalta;Health Care ;36.78;0.88;5314173;2.38;0.28;583777000
BXP;Boston Properties;Financials ;108.97;1.95;1175016;3.72;2.60;152529000
C;Citigroup Inc.;Financials ;37.51;0.79;39767262;5.4;0.20;2948722000
CA;CA, Inc.;Information Technology ;27.57;0.44;4127343;1.74;1.00;312384000
CAG;ConAgra Foods Inc.;Consumer Staples ;39.7;1.46;3853934;-4.06;1.00;401344000
CAH;Cardinal Health Inc.;Health Care ;76.65;0.64;2653787;4.11;1.55;328587000
CAM;Cameron International Corp.;Energy ;62.12;2.39;2885840;2.59;N/A;190403000
CAT;Caterpillar Inc.;Industrials ;63.93;1.01;5638462;3.5;3.08;580925000
CB;Chubb Limited;Financials ;110.58;1.55;2312298;8.62;0.00;322745000
CBG;CBRE Group;Financials ;23.32;0.17;4685339;1.63;N/A;298091000
CBS;CBS Corp.;Consumer Discretionary ;42.65;3.85;7335762;3.12;0.60;429318000
CCE;Coca-Cola Enterprises;Consumer Staples ;47.62;2.06;2292218;2.32;1.12;207527000
CCI;Crown Castle International Corp.;Financials ;82.2;0.61;2383727;4.42;3.54;330505000
CCL;Carnival Corp.;Consumer Discretionary ;42.97;2.5;9800548;2.26;1.20;414031000
CELG;Celgene Corp.;Health Care ;100.5;1.33;7307663;1.94;N/A;783501000
CERN;Cerner;Health Care ;53.71;1.07;2443863;1.48;N/A;303713000
CF;CF Industries Holdings Inc;Materials ;28.17;1.64;4988249;3.81;1.20;232068000
CFG;Citizens Financial Group;Financials ;19.55;1.82;10511868;1.55;0.40;526449000
CHD;Church & Dwight;Consumer Staples ;88.49;1.42;1393180;3.07;1.42;130238000
CHK;Chesapeake Energy;Energy ;1.95;4.41;39361622;-33.88;0.00;579127000
CHRW;C. H. Robinson Worldwide;Industrials ;69.69;0.24;1859919;3.51;1.72;142601000
CI;CIGNA Corp.;Health Care ;128.18;2.58;1159347;8.17;0.04;250389000
CINF;Cincinnati Financial;Financials ;61.24;0.51;1275149;3.83;1.92;156263000
CL;Colgate-Palmolive;Consumer Staples ;65.88;0.29;4423882;1.52;1.52;866700000
CLX;The Clorox Company;Consumer Staples ;128.68;1.29;2273041;5.18;3.08;129040000
CMA;Comerica Inc.;Financials ;32.45;0.5;3929064;2.92;0.84;174308000
CMCSA;Comcast A Corp;Consumer Discretionary ;58.21;2;18252317;3.24;1.10;2430308000
CME;CME Group Inc.;Financials ;93.31;3.46;3233473;3.69;2.40;321672000
CMG;Chipotle Mexican Grill;Consumer Discretionary ;440.93;0.91;1139116;15.1;N/A;29524000
CMI;Cummins Inc.;Industrials ;99.7;1.29;3516085;7.84;3.90;173750000
CMS;CMS Energy;Utilities ;39.87;0.08;3210836;1.89;1.24;272450000
CNP;CenterPoint Energy;Utilities ;18.55;0.65;6138846;-0.02;1.03;428640000
CNX;CONSOL Energy Inc.;Energy ;7.53;11.93;11934010;-1.64;0.04;197247000
COF;Capital One Financial;Financials ;62.42;2.51;4424033;7.07;1.60;527222000
COG;Cabot Oil & Gas;Energy ;19.59;6.36;12782101;-0.55;0.08;376489000
COH;Coach Inc.;Consumer Discretionary ;34.05;1.1;3612266;1.32;1.35;277354000
COL;Rockwell Collins;Industrials ;80.75;0.52;2073036;4.9;1.32;130739000
COP;ConocoPhillips;Energy ;33.58;2.47;20405394;-3.58;1.00;1234320000
COST;Costco Co.;Consumer Staples ;147.94;0.63;3228334;5.34;1.60;436316000
CPB;Campbell Soup;Consumer Staples ;57.21;1.74;2572948;2.05;1.25;204313000
CPGX;Columbia Pipeline Group Inc;Energy ;15.93;4.09;4974510;0.84;0.52;316098000
CRM;Salesforce.com;Information Technology ;57.33;6.07;16477677;-0.13;N/A;623084000
CSCO;Cisco Systems;Information Technology ;22.65;1.22;30767214;1.88;0.84;5071865000
CSRA;CSRA Inc.;Information Technology ;22.34;2.4;3112032;1.36;0.40;148315000
CSX;CSX Corp.;Industrials ;23.88;3.78;16839527;2;0.72;969798000
CTAS;Cintas Corporation;Industrials ;83.49;1.03;642324;5.62;1.05;88515000
CTL;CenturyLink Inc;Telecommunications Services ;24.81;3.2;10292095;1.3;2.16;546429000
CTSH;Cognizant Technology Solutions;Information Technology ;52.33;3.18;8244520;2.55;N/A;604681000
CTXS;Citrix Systems;Information Technology ;62.33;1.33;2255825;1.99;N/A;154917000
CVC;Cablevision Systems Corp.;Consumer Discretionary ;31.62;0.44;2924531;0.72;0.60;213514000
CVS;CVS Caremark Corp.;Consumer Staples ;90.51;0.96;11876924;4.43;1.70;1108346000
CVX;Chevron Corp.;Energy ;82.92;3.57;12605567;2.45;4.28;1881359000
D;Dominion Resources;Utilities ;70.43;1.35;4020474;3.2;2.80;594539000
DAL;Delta Air Lines;Industrials ;41.98;2.97;12082562;5.63;0.54;773228000
DD;Du Pont (E.I.);Materials ;58.7;1.6;6834218;2.16;1.52;870068000
DE;Deere & Co.;Industrials ;78.08;1.31;2978668;5.77;2.40;285384000
DFS;Discover Financial Services;Financials ;45.87;1.68;4483674;5.13;1.12;417159000
DG;Dollar General;Consumer Discretionary ;69.52;0.27;3923262;3.83;0.88;267779000
DGX;Quest Diagnostics;Health Care ;60.55;0.02;1494675;4.87;1.60;142515000
DHI;D. R. Horton;Consumer Discretionary ;24.04;2.39;9795557;2.06;0.32;336452000
DHR;Danaher Corp.;Industrials ;85.19;1.25;2577513;4.74;0.54;633875000
DIS;The Walt Disney Company;Consumer Discretionary ;92.32;0.22;19237887;4.9;1.42;1521651000
DISCA;Discovery Communications-A;Consumer Discretionary ;24.72;5;5795705;1.62;N/A;320183000
DISCK;Discovery Communications-C;Consumer Discretionary ;24.33;4.17;2295215;1.62;N/A;320183000
DLPH;Delphi Automotive;Consumer Discretionary ;57.64;1.11;4938860;5.06;1.16;277580000
DLTR;Dollar Tree;Consumer Discretionary ;75.24;0.12;2745032;1.2;N/A;212504000
DNB;Dun & Bradstreet;Industrials ;88.66;0.85;274253;5.06;1.85;36029000
DO;Diamond Offshore Drilling;Energy ;17.37;9.25;3092549;0.51;0.50;64009000
DOV;Dover Corp.;Industrials ;58.13;2.58;2379499;5.46;1.68;152613000
DOW;Dow Chemical;Materials ;46.6;0.8;8201194;6.15;1.84;1101829000
DPS;Dr Pepper Snapple Group;Consumer Staples ;90.32;1.49;1328259;3.77;1.92;188149000
DRI;Darden Restaurants;Consumer Discretionary ;58.48;1.78;3542932;2.85;2.00;118281000
DTE;DTE Energy Co.;Utilities ;86.85;0.73;1460677;5.29;2.92;178425000
DUK;Duke Energy;Utilities ;78.105;0.303;3806686;3.473;3.300;687680000
DVA;DaVita Inc.;Health Care ;62.25;0.02;1300150;2.22;N/A;205218000
DVN;Devon Energy Corp.;Energy ;22.66;4.31;8871119;-25.41;0.96;363040000
EA;Electronic Arts;Information Technology ;58.25;3.43;9007858;1.95;N/A;305868000
EBAY;eBay Inc.;Information Technology ;22.01;2.09;16786367;1.42;N/A;1015030000
ECL;Ecolab Inc.;Materials ;107.2;3.45;1792573;3.73;1.40;265522000
ED;Consolidated Edison;Utilities ;73.61;0.73;2597313;3.73;2.68;292837000
EFX;Equifax Inc.;Financials ;93.22;0.72;1781725;3.42;1.16;117626000
EIX;Edison Intl;Utilities ;63.4;0.79;2737549;4.61;1.92;325087000
EL;Estee Lauder Cos.;Consumer Staples ;90.44;0.9;3071693;3.1;1.20;218613000
EMC;EMC Corp.;Information Technology ;24.17;0.12;13431614;1.01;0.46;1934431000
EMN;Eastman Chemical;Materials ;58.43;0.58;2323465;5.66;1.84;147099000
EMR;Emerson Electric Company;Industrials ;46.435;0.319;4920223;3.79;1.900;638993000
ENDP;Endo International;Health Care ;52.22;3.1;4745758;-7.97;N/A;195622000
EOG;EOG Resources;Energy ;65.59;4.15;6382825;-6.96;0.67;547398000
EQIX;Equinix;Information Technology ;265.05;1.41;2096993;-3.23;6.76;51073000
EQR;Equity Residential;Financials ;71.34;1.23;2110532;2.36;2.21;358361000
EQT;EQT Corporation;Energy ;56.97;4.68;2289085;0.56;0.12;151557000
ES;Eversource Energy;Utilities ;54.69;1.11;3068280;2.76;1.78;315478000
ESRX;Express Scripts;Health Care ;67.16;0.66;4083135;3.21;N/A;674889000
ESS;Essex Property Trust Inc;Financials ;193.49;2.36;741738;3.49;5.76;64498000
ESV;Ensco plc;Energy ;8.47;8.92;7842288;-11.15;0.60;234301000
ETFC;E*Trade;Financials ;20.83;1.61;6953186;0.91;N/A;291498000
ETN;Eaton Corporation;Industrials ;54.48;1.14;5233751;4.23;2.20;459877000
ETR;Entergy Corp.;Utilities ;70.74;0.2;1755745;-0.87;3.40;177981000
EW;Edwards Lifesciences;Health Care ;76.34;0.82;2676967;2.25;N/A;213998000
EXC;Exelon Corp.;Utilities ;31.63;1.3;9553501;2.54;1.24;919029000
EXPD;Expeditors Int.l;Industrials ;45.9;0.33;2283647;2.31;0.72;184185000
EXPE;Expedia Inc.;Consumer Discretionary ;92.64;1.21;4471170;6.37;0.96;104028000
EXR;Extra Space Storage;Financials ;79.28;1.1;1601302;1.9;2.36;118191000
F;Ford Motor;Consumer Discretionary ;11.35;2.07;48956776;1.2;0.60;3660307000
FAST;Fastenal Co;Industrials ;43.36;0.69;5576638;1.77;1.20;286148000
FB;Facebook;Information Technology ;99.54;0.21;62711611;1.29;N/A;2192632000
FCX;Freeport-McMoran Cp & Gld;Materials ;5;5.12;44787744;-11.31;0.00;1129300000
FDX;FedEx Corporation;Industrials ;129.77;0.43;1936197;3.9;1.00;255183000
FE;FirstEnergy Corp;Utilities ;33.32;0.36;3205696;1.18;1.44;421903000
FFIV;F5 Networks;Information Technology ;87.61;0.65;1043104;5.1;N/A;68563000
FIS;Fidelity National Information Services;Information Technology ;57.93;3.37;5576212;2.52;1.04;276149000
FISV;Fiserv Inc;Information Technology ;92.09;0.3;1641736;2.99;N/A;230914000
FITB;Fifth Third Bancorp;Financials ;14.83;0.2;8490441;2.01;0.52;780071000
FLIR;FLIR Systems;Industrials ;28.76;4.2;1952798;1.71;0.44;136415000
FLR;Fluor Corp.;Industrials ;43.16;0.89;1394967;4.52;0.84;141087000
FLS;Flowserve Corporation;Industrials ;39.59;1.98;1212473;2.63;0.72;130203000
FMC;FMC Corporation;Materials ;34.53;1.2;3426624;5.76;0.66;126105000
FOX;Twenty-First Century Fox Class B;Consumer Discretionary ;24.21;1.34;10076981;3.81;0.30;1599423000
FOXA;Twenty-First Century Fox Class A;Consumer Discretionary ;24.135;1.85;32023924;3.809;0.300;1599423000
FRT;Federal Realty Investment Trust;Financials ;146.77;0.32;678078;2.55;3.76;68833000
FSLR;First Solar Inc;Information Technology ;66.48;3.58;2393491;5.67;N/A;73964000
FTI;FMC Technologies Inc.;Energy ;22.98;2.71;5028572;2.16;N/A;225201000
FTR;Frontier Communications;Telecommunications Services ;4.32;0;22689897;-0.14;0.42;1160863000
GAS;AGL Resources Inc.;Utilities ;64.66;0.19;1629053;3.29;2.04;119477000
GD;General Dynamics;Industrials ;132.13;0.1;2205426;9.08;2.76;293587000
GE;General Electric;Industrials ;28.28;0.39;37031617;-0.62;0.92;9736229000
GGP;General Growth Properties Inc.;Financials ;25;3.1;7186581;1.43;0.76;881068000
GILD;Gilead Sciences;Health Care ;87.25;2.33;14322656;11.91;1.72;1412998000
